fund_code,name,trade_date,prev_trade_date,share_change,share_change_pct,confirmed_at,confirm_note
159527.SZ,广发中证云计算与大数据主题ETF,20240624,20240621,-2600.0,-0.5189574145541607,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
516310.SH,易方达中证银行ETF,20240624,20240621,31800.0,3.3989429073788058,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
561370.SH,国泰中证2000ETF,20240625,20240624,-3600.0000000000005,-0.52665457311721,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159543.SZ,工银瑞信国证2000ETF,20240702,20240701,4800.0,2.6378625268052174,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588890.SH,南方上证科创板芯片ETF,20240708,20240705,1200.0,1.0160880609652836,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159581.SZ,万家中证红利ETF,20240711,20240710,20200.0,2.370176848516178,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159553.SZ,海富通中证2000增强策略ETF,20240716,20240715,4600.0,4.454450388123041,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159553.SZ,海富通中证2000增强策略ETF,20240717,20240716,-4600.0,-0.8166634713228887,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
561760.SH,博时中证油气资源ETF,20240719,20240718,4050.0,2.0563594821020565,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
561760.SH,博时中证油气资源ETF,20240722,20240719,-3900.0,-0.647894343384002,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159553.SZ,海富通中证2000增强策略ETF,20240729,20240726,-1200.0,-0.5374718426339775,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159787.SZ,易方达中证全指建筑材料ETF,20240805,20240802,7000.0,3.3299030574836883,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159787.SZ,易方达中证全指建筑材料ETF,20240806,20240805,-7000.0,-0.7690479470962689,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
512200.SH,南方中证全指房地产ETF,20240809,20240808,-629527.81,-0.642317900971301,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562930.SH,易方达中证软件服务ETF,20240809,20240808,-5200.000000000001,-0.5229441757092431,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562920.SH,易方达中证信息安全主题ETF,20240812,20240809,5600.0,1.99508354412341,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
562920.SH,易方达中证信息安全主题ETF,20240813,20240812,-5500.0,-0.654224506060498,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159537.SZ,国泰国证信息技术创新主题ETF,20240814,20240813,3299.9999999999995,0.9808991587511572,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
510580.SH,易方达中证500ETF,20240830,20240829,-318699.69,-0.7520111066508993,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159540.SZ,易方达国证信息技术创新主题ETF,20240906,20240905,3300.0000000000005,0.9849220080554086,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
560330.SH,申万菱信沪深300价值ETF,20240912,20240911,2700.0,0.9952082565425728,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
