fund_code,announcement_date,event_date,title,content,source_url
159689.SZ,20230321,,南方基金关于南方中证主要消费交易型开放式指数证券投资基金增加部分券商为场内申购赎回代理券商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-21/1216165306.PDF
159787.SZ,20230323,,关于易方达中证全指建筑材料交易型开放式指数证券投资基金基金资产净值连续低于5000万元的提示性公告,,https://static.cninfo.com.cn/finalpage/2023-03-23/1216190934.PDF
516200.SH,20230323,,华安中证全指证券公司交易型开放式指数证券投资基金基金产品资料概要更新,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-23/516200_20230323_Z46R.pdf
516210.SH,20230323,,华安中证银行交易型开放式指数证券投资基金基金产品资料概要更新,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-23/516210_20230323_13D4.pdf
516900.SH,20230323,,华安中证申万食品饮料交易型开放式指数证券投资基金基金产品资料概要更新,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-23/516900_20230323_ZTGA.pdf
159650.SZ,20230324,,关于博时基金管理有限公司旗下部分基金新增中国中金财富证券为申购、赎回代办券商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-24/1216199815.PDF
159787.SZ,20230324,,关于易方达中证全指建筑材料交易型开放式指数证券投资基金可能触发基金合同终止情形的提示性公告,,https://static.cninfo.com.cn/finalpage/2023-03-24/1216203144.PDF
159787.SZ,20230324,,易方达基金管理有限公司旗下部分ETF增加中金财富为一级交易商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-24/1216202013.PDF
159787.SZ,20230325,,关于易方达中证全指建筑材料交易型开放式指数证券投资基金可能触发基金合同终止情形的提示性公告,,https://static.cninfo.com.cn/finalpage/2023-03-25/1216221605.PDF
159719.SZ,20230327,,关于新增平安富时中国国企开放共赢交易型开放式指数证券投资基金流动性服务商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-27/1216217783.PDF
159685.SZ,20230329,,天弘中证1000增强策略交易型开放式指数证券投资基金上市交易公告书,,https://static.cninfo.com.cn/finalpage/2023-03-29/1216243009.PDF
159685.SZ,20230329,,天弘基金管理有限公司关于天弘中证1000增强策略交易型开放式指数证券投资基金开放日常申购、赎回业务并调整最小申购赎回单位的公告,,https://static.cninfo.com.cn/finalpage/2023-03-29/1216243008.PDF
159719.SZ,20230329,,关于新增平安富时中国国企开放共赢交易型开放式指数证券投资基金流动性服务商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-29/1216241898.PDF
159001.SZ,20230330,,易方达保证金收益货币市场基金2022年年度报告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216262486.PDF
159001.SZ,20230330,,易方达基金管理有限公司旗下基金2022年年度报告提示性公告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216262238.PDF
159620.SZ,20230330,,华夏中证智选500成长创新策略交易型开放式指数证券投资基金2022年年度报告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216254728.PDF
159630.SZ,20230330,,汇添富基金管理股份有限公司关于汇添富中证100交易型开放式指数证券投资基金增加申购赎回代理券商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216254691.PDF
159650.SZ,20230330,,博时中债0-3年国开行债券交易型开放式指数证券投资基金2022年年度报告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216256280.PDF
159685.SZ,20230330,,天弘中证1000增强策略交易型开放式指数证券投资基金招募说明书（更新）,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216256201.PDF
159719.SZ,20230330,,关于新增平安富时中国国企开放共赢交易型开放式指数证券投资基金流动性服务商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216254770.PDF
159787.SZ,20230330,,易方达中证全指建筑材料交易型开放式指数证券投资基金2022年年度报告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216262304.PDF
159787.SZ,20230330,,易方达基金管理有限公司旗下基金2022年年度报告提示性公告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216262244.PDF
159791.SZ,20230330,,华夏沪深300ESG基准交易型开放式指数证券投资基金2022年年度报告,,https://static.cninfo.com.cn/finalpage/2023-03-30/1216254733.PDF
513320.SH,20230330,,易方达基金管理有限公司旗下基金2022年年度报告提示性公告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/513320_20230330_CP0M.pdf
513320.SH,20230330,,易方达恒生港股通新经济交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/513320_20230330_A3V5.pdf
516200.SH,20230330,,华安中证全指证券公司交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/516200_20230330_MHA5.pdf
516210.SH,20230330,,华安中证银行交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/516210_20230330_EHPO.pdf
516900.SH,20230330,,华安中证申万食品饮料交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/516900_20230330_PQPO.pdf
560680.SH,20230330,,广发中证主要消费交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/560680_20230330_4944.pdf
560680.SH,20230330,,广发基金管理有限公司关于旗下基金2022年年度报告提示性公告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/560680_20230330_E9DH.pdf
561350.SH,20230330,,国泰中证500交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/561350_20230330_LRZ5.pdf
562530.SH,20230330,,华夏中证智选1000价值稳健策略交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-30/562530_20230330_278U.pdf
159001.SZ,20230331,,易方达基金管理有限公司关于提醒投资者及时提供或更新身份信息资料的公告,,https://static.cninfo.com.cn/finalpage/2023-03-31/1216277725.PDF
159630.SZ,20230331,,汇添富中证100交易型开放式指数证券投资基金2022年年度报告,,https://static.cninfo.com.cn/finalpage/2023-03-31/1216268019.PDF
159685.SZ,20230331,,天弘基金管理有限公司关于增聘天弘中证1000增强策略交易型开放式指数证券投资基金基金经理的公告,,https://static.cninfo.com.cn/finalpage/2023-03-31/1216270835.PDF
159719.SZ,20230331,,平安富时中国国企开放共赢交易型开放式指数证券投资基金2022年年度报告,,https://static.cninfo.com.cn/finalpage/2023-03-31/1216274259.PDF
159787.SZ,20230331,,易方达基金管理有限公司关于提醒投资者及时提供或更新身份信息资料的公告,,https://static.cninfo.com.cn/finalpage/2023-03-31/1216277735.PDF
159787.SZ,20230331,,易方达基金管理有限公司旗下部分ETF增加东兴证券为一级交易商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-31/1216277770.PDF
513320.SH,20230331,,易方达基金管理有限公司关于提醒投资者及时提供或更新身份信息资料的公告,基金管理人公告(基金) 投资者服务,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-31/513320_20230331_1JUL.pdf
516730.SH,20230331,,浦银安盛中证证券公司30交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-31/516730_20230331_4206.pdf
517180.SH,20230331,,南方富时中国国企开放共赢交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-31/517180_20230331_D8CY.pdf
562350.SH,20230331,,银华中证全指电力公用事业交易型开放式指数证券投资基金2022年年度报告,定期报告(基金) 年度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-31/562350_20230331_20G4.pdf
159685.SZ,20230401,,天弘基金管理有限公司关于高级管理人员变更的公告,,https://static.cninfo.com.cn/finalpage/2023-04-01/1216303457.PDF
159685.SZ,20230403,,天弘中证1000增强策略交易型开放式指数证券投资基金基金产品资料概要（更新）,,https://static.cninfo.com.cn/finalpage/2023-04-03/1216297044.PDF
159685.SZ,20230403,,天弘基金管理有限公司关于天弘中证1000增强策略交易型开放式指数证券投资基金上市交易提示性公告,,https://static.cninfo.com.cn/finalpage/2023-04-03/1216300883.PDF
