fund_code,name,is_etf_candidate,candidate_rule,category,subcategory,fund_type,benchmark,market,status,list_date,delist_date,management,category_rule,review_note,sw_index_code,sw_industry_name,sw_level,sw_parent_code,sw_match_term,sw_match_rule
589160.SH,广发上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2026/1/30,,广发基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589170.SH,鹏华上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2026/2/6,,鹏华基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589190.SH,华宝上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2026/1/27,,华宝基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589210.SH,广发上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2025/12/23,,广发基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589230.SH,南方上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2026/2/2,,南方基金管理股份有限公司,fund_type/benchmark/name:technology,,,,,,,
589250.SH,浦银安盛上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2026/4/1,,浦银安盛基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589260.SH,国泰上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2026/4/2,,国泰基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589290.SH,汇添富上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2026/6/26,,汇添富基金管理股份有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589310.SH,鑫元上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,,,鑫元基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
589350.SH,银华上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2026/6/30,,银华基金管理股份有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589380.SH,富国上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/7/1,,富国基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
589520.SH,华宝上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/3/13,,华宝基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
589560.SH,汇添富上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/9/5,,汇添富基金管理股份有限公司,fund_type/benchmark/name:technology,,,,,,,
159021.SZ,华夏国证大盘价值ETF,Y,include:name_etf,红利策略,红利价值,股票型,国证大盘价值指数收益率×100%,E,L,2026/5/15,,华夏基金管理有限公司,fund_type/benchmark/name:dividend_value,,,,,,,
159037.SZ,鹏华国证价值100ETF,Y,include:name_etf,红利策略,红利价值,股票型,国证价值100指数收益率×100%,E,L,2026/6/11,,鹏华基金管理有限公司,fund_type/benchmark/name:dividend_value,,,,,,,
