fund_code,name,trade_date,prev_trade_date,event_type,event_date,announcement_date,event_keyword,event_title,source_url,share_change,share_change_pct,adjustment_action,review_status,review_note
159971.SZ,富国创业板ETF,20251202,20251201,share_split,20251202,20251202,基金份额拆分,关于富国创业板交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-12-02/1224842088.PDF,102401.0144,0.9846155346730926,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159636.SZ,工银瑞信国证港股通科技ETF,20251208,20251205,share_split,20251208,20251208,基金份额拆分,港股通科技30ETF：工银瑞信基金管理有限公司关于工银瑞信国证港股通科技交易型开放式指数证券投资基金基金份额拆分结果的公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-12-08/ed4a78bb-e6c0-4478-bb5b-887e406b33a4.PDF,2643925.0603,1.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159970.SZ,工银瑞信深证100ETF,20251222,20251219,share_split,20251222,20251222,基金份额拆分,深100ETF工银：工银瑞信基金管理有限公司关于工银瑞信深证100交易型开放式指数证券投资基金基金份额拆分结果的公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-12-22/f1497d58-2461-41f2-85f3-a205c076e402.PDF,1022.392,5.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
515880.SH,国泰中证全指通信设备ETF,20260202,20260130,share_split,20260203,20260203,基金份额拆分,国泰基金管理有限公司关于国泰中证全指通信设备交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-02-03/515880_20260203_8390.pdf,973692.47,2.092854078581142,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
588780.SH,国联安上证科创板芯片设计主题ETF,20260202,20260130,share_split,20260203,20260203,基金份额拆分,国联安基金管理有限公司关于国联安上证科创板芯片设计主题交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-02-03/588780_20260203_Q6ER.pdf,49995.1,1.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159994.SZ,银华中证5G通信主题ETF,20260209,20260206,share_split,20260209,20260209,基金份额拆分,银华基金管理股份有限公司关于银华中证5G通信主题交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-02-09/1224972085.PDF,135700.1679,0.9955979511306237,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159246.SZ,富国创业板人工智能ETF,20260213,20260212,share_split,20260213,20260213,基金份额拆分,关于富国创业板人工智能交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-02-13/1224980186.PDF,160482.7803,0.99380738925759,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
512760.SH,国泰CES半导体芯片行业ETF,20260326,20260325,share_split,20260327,20260327,基金份额拆分,国泰基金管理有限公司关于国泰CES半导体芯片行业交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-27/512760_20260327_2DS9.pdf,570272.27,1.0106331468205385,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
513660.SH,华夏沪港通恒生ETF,20260420,20260417,share_split,20260421,20260421,基金份额拆分,华夏基金管理有限公司关于华夏沪港通恒生交易型开放式指数证券投资基金基金份额拆分结果及调整最小申购、赎回单位并恢复相关业务的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-21/513660_20260421_ASND.pdf,142600.01,1.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
560660.SH,新华中证云计算50ETF,20260424,20260423,share_split,20260421,20260421,基金份额拆分,关于新华中证云计算50交易型开放式指数证券投资基金实施基金份额拆分业务的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-21/560660_20260421_7ANC.pdf,5996.9,1.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
